Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2019,Josh Jacobs,Alabama,RB,70,220,10.13,31.63,,4.64,18,35,112,,,
2019,Taivon Jacobs,Maryland,WR,69.75,170,8,28.875,,4.64,13,39,123,,,
2019,Andre James,UCLA,OG,76.13,299,10,32,,5.32,21,29,105,4.84,8,
2019,Chris James,Wisconsin,RB,69.63,215,9,30,,4.67,19,34,117,4.23,7.11,
2019,CeCe Jefferson,Florida,DE,73.63,266,9.63,33.63,,5.02,17,30.5,108,4.53,7.5,
2019,Jalen Jelks,Oregon,EDG,77.38,256,9.63,34.63,,4.92,19,32.5,113,4.59,7.22,
2019,Elgton Jenkins,Mississippi State,OL,76.5,310,10.25,34,,5.1,29,28,109,4.62,7.77,
2019,Gary Jennings,West Virginia,WR,73,214,9.63,32.5,,4.42,20,37,127,4.15,7.32,
2019,Anthony Johnson,Buffalo,WR,73.88,209,9.38,31.38,,4.55,18,32.5,122,,7.12,
2019,Darryl Johnson,North Carolina A&T,EDG,78,253,10,33.88,,4.82,20,32.5,112,4.56,6.97,
2019,Devon Johnson,Ferris State (MI),OT,79.25,338,9.5,34.75,,5.12,26,27.5,89,5.28,8.34,
2019,Diontae Johnson,Toledo,WR,70.5,183,9,30.75,,4.53,15,33.5,123,4.45,7.09,
2019,Fred Johnson,Florida,OL,79,326,10.63,34,,5.32,20,24.5,104,5.09,7.91,
2019,Gary Johnson,Texas,LB,71.88,226,10.25,31.25,,4.43,16,33.5,121,4.57,7.15,
2019,Isaiah Johnson,Houston,CB,73.88,208,8.75,33,,4.4,9,36.5,133,4.06,6.81,
2019,Jaquan Johnson,Miami (FL),S,70.13,191,8.75,29.63,,4.69,18,33,121,4.18,7.2,
2019,JonVea Johnson,Toledo,WR,70.75,188,8.88,31.375,,4.4,12,35,128,4.17,6.68,
2019,Justin Johnson,Mississippi State,TE,75,235,9.25,32.25,,4.6,22,34,120,4.47,7.36,
2019,KeeSean Johnson,Frenso State (CA),WR,73.13,201,9.5,32,,4.6,14,30,117,4.23,7.28,
2019,Lonnie Johnson,Kentucky,CB,74.13,213,9.13,32.63,,4.52,15,38,129,4.1,7.01,
2019,Olabisi Johnson,Colorado State,WR,72.5,204,10.38,30.75,,4.51,14,38,124,4.16,6.88,
2019,PJ Johnson,Arizona,DT,75.38,321,9.5,33.125,,5.34,18,24.5,94,4.97,7.89,
2019,Ty Johnson,Maryland,RB,70.75,210,9.13,30.125,,4.4,13,34.5,123,,,
2019,Tyron Johnson,Oklahoma State,WR,72.88,193,9.25,30.875,,4.36,16,30,116,4.4,7.07,
2019,Daniel Jones,Duke,QB,77.13,221,9.75,32.5,,4.81,,33.5,120,4.41,7,
2019,Dre'Mont Jones,Ohio State,DT,74.75,281,9.63,33.75,,5.12,18,31.5,110,4.53,7.71,
2019,Fredrick Jones,Florida State,DT,73.75,318,9.25,32.375,,5.32,26,24,100,4.96,7.85,
2019,Jahair Jones,Miami (FL),OG,76,311,9.5,34,,5.4,24,26,88,4.96,8.06,
2019,Jordan Jones,Kentucky,LB,73.88,234,9,31.75,,4.62,23,32.5,123,4.37,,
2019,Tyler Jones,North Carolina State,OG,75,306,9.75,33.75,,,23,31.5,111,4.82,7.75,
2019,Michael Jordan,Ohio State,C,77.88,312,10,34.25,,5.27,19,32.5,116,4.71,7.71,
2019,Kendall Joseph,Clemson,LB,71.63,233,9.75,31.63,,5.05,25,26.5,109,4.47,7.63,
2019,Vosean Joseph,Florida,LB,73.38,230,9.63,31.38,,,14,28,106,4.75,7.64,
2019,Micah Kapoi,Wisconsin,OG,74.75,308,10,31.625,,5.55,23,27.5,99,5.16,8.36,
2019,Corbin Kaufusi,Brigham Young,DE,80.5,279,9.13,36.125,,,,,,,,
2019,Kingsley Keke,Texas A&M,DE,74.63,288,9.75,34.5,,4.95,20,31.5,111,4.46,7.55,
2019,Anthoula Kelly,Frenso State (CA),CB,69.25,182,8.63,29.875,,4.44,16,38.5,120,4.31,7.18,
2019,Derrick Kelly,Florida State,OT,76.75,307,9.75,34,,5.44,25,28,105,5.03,8.2,
2019,Kyle Kempt,Iowa State,QB,76.25,225,9.38,32.375,,4.91,,27,113,4.51,7.26,
2019,Derek Kief,Alabama,WR,76.5,204,8.88,32.625,,4.72,,35,125,4.32,7.07,
2019,Tyree Kinnel,Michigan,FS,71,207,9.13,30.625,,4.51,15,34.5,117,4.14,6.78,
2019,Billy Kinney,West Virginia,P,74.75,229,9.38,31.75,,,,,,,,
2019,Brandon Knight,Indiana,OT,75.75,314,10,33.375,,,27,,,,,
2019,Dawson Knox,Mississippi,TE,76.38,254,9.75,33.5,,4.59,16,34.5,122,4.27,7.12,
2019,Demetrius Knox,Ohio State,OG,76,310,10.5,33,,,15,,,,,
2019,Davis Koppenhaver,Duke,TE,75.63,245,9.13,31.25,,4.92,14,32,113,4.51,7.38,
2019,Tre Lamar,Clemson,LB,75.88,253,9.5,32.25,,5.01,,34.5,121,4.54,7.46,
2019,Darrell Langham,Miami (FL),TE,76.75,249,10.5,35.5,,4.74,12,32.5,121,4.47,7.59,
2019,Isaiah Langley,Southern California,CB,71.25,179,8.25,31,,4.56,7,34,124,4.22,6.76,
2019,Dexter Lawrence,Clemson,DT,76.5,342,10.5,34.75,,5.05,36,,,,,
2019,Patrick Lawrence,Baylor,OT,78.13,303,9.75,34.125,,,,,,,,
2019,Justin Layne,Michigan State,CB,73.75,192,9.25,33,,4.5,,37.5,134,4.09,6.9,
2019,Jonathan Ledbetter,Georgia,DE,75.75,280,9.88,34.5,,5.14,22,26.5,108,4.69,7.72,
2019,Brandon Lee,Missouri,OLB,74.5,228,9.63,33.25,,,14,36,113,4.37,7.27,
2019,Cyontai Lewis,Florida,TE,76.63,238,9.75,33.75,,4.84,10,31.5,119,4.58,7.36,
2019,Donnie Lewis,Tulane (LA),CB,72.25,190,9.25,30.75,,,,,,,,
2019,Drew Lewis,Colorado,OLB,74.25,229,10,32,,4.52,20,34,129,4.3,7.01,
2019,Shelton Lewis,Florida Atlantic,CB,70.25,179,9.13,29.625,,4.54,15,36,124,4.4,7.2,
2019,Nick Linder,Indiana,C,75,307,9.75,32.25,,,,,,,,
2019,Chris Lindstrom,Boston College,OG,75.75,308,9.5,34.13,,4.91,25,30.5,117,4.54,7.61,
2019,T.J. Linta,Wagner (NY),QB,75.25,233,9.88,31.25,,5.22,,,,4.68,,
2019,Greg Little,Mississippi,OT,77.25,310,10.25,35.25,,5.33,15,25,113,4.74,8.19,
2019,Toa Lobendahn,Southern California,C,75.13,300,9.63,31.375,,,36,28.5,102,,,
2019,Drew Lock,Missouri,QB,75.75,228,9,32.5,,4.69,,31,112,4.12,7.03,
2019,P.J. Locke,Texas,FS,70.25,202,9.38,31,,4.57,22,36,120,4.26,7.13,
2019,Damarkus Lodge,Mississippi,WR,73.88,202,9.5,33.125,,4.55,11,33.5,119,4.53,7.06,
2019,Madre London,Tennessee,RB,72.88,215,10.38,31.875,,4.63,19,31.5,121,4.58,7.19,
2019,David Long,Michigan,CB,70.63,196,9.63,30.88,,4.45,15,39.5,120,3.97,6.45,
2019,David Long,West Virginia,LB,71.25,227,10,30.75,,4.45,15,39.5,120,4.27,6.88,
2019,Bryce Love,Stanford,RB,68.88,200,9.13,29.38,,,18,,,,,
2019,Julian Love,Notre Dame,CB,70.75,195,9,31.75,,4.54,14,36,121,4.1,6.72,
2019,John Lovett,Princeton,FB,74.25,234,9.75,31.25,,4.68,,32,121,4.13,6.83,
2019,Joe Lowery,Ohio,OT,78.13,300,9.75,32.5,,5.22,23,26.5,101,4.97,8,
2019,Alize Mack,Notre Dame,TE,76,249,9.38,33.75,,4.7,22,36,120,4.34,7.27,11.93
2019,Daylon Mack,Texas A&M,DT,73,336,10.25,31.25,,5.1,30,27,102,4.95,8.02,
2019,Isaiah Mack,Tennessee-Chattanooga,DT,73.25,299,9.63,31.75,,4.99,25,32.5,109,4.67,7.5,
2019,Tanner Mangum,Brigham Young,QB,74.13,203,8.63,30.625,,4.9,,28,110,4.41,7.2,
2019,Andrew Marshall,Georgia Tech,OG,76.25,300,9.63,31.625,,5.37,19,24.5,100,,,
2019,Iman Marshall,Southern California,CB,72.63,207,9.5,30.38,,4.53,16,32.5,117,4.39,7.09,
2019,Lawrence Marshall,Michigan,DT,75.13,270,10.13,34,,5.22,,30.5,107,4.94,7.75,
2019,TaQuon Marshall,Georgia Tech,RB,69.5,183,8.63,29.875,,4.7,,31,106,4.3,7.26,
2019,Koda Martin,Syracuse,OT,78.63,300,9.5,32.625,,5.19,24,27,102,4.7,7.5,
2019,Wes Martin,Indiana,OG,74.63,311,9.38,32.75,,5.41,38,28.5,113,4.82,7.56,
2019,Alexander Mattison,Boise State,RB,70.88,221,9.13,31,,4.67,22,35,127,4.29,7.13,11.69
2019,Jalan McClendon,Baylor,QB,76.5,222,9.75,32.875,,4.82,,31.5,114,4.4,7.09,
2019,Erik McCoy,Texas A&M,C,75.88,303,9.63,33,,4.89,29,31,107,4.62,8.28,
2019,Kaleb McGary,Washington,OT,79.5,320,10.25,32.875,,5.05,23,33.5,111,4.58,7.66,
2019,Khalid McGee,South Florida,SS,69.25,195,9.5,30.625,,4.57,14,27.5,104,4.52,7.44,
2019,Connor McGovern,Penn State,OL,77.38,308,9.88,34.13,,,28,,112,4.57,7.66,
2019,Chase McLaughlin,Illinois,K,71.88,187,9.25,29.625,,,,,,,,
2019,Mark McLaurin,Mississippi State,S,73.5,212,9.63,31.63,,4.77,12,36,115,4.46,,
2019,Terry McLaurin,Ohio State,WR,72.13,208,9.13,31.5,,4.35,18,37.5,125,4.15,7.01,
2019,Marcus McMaryion,Frenso State (CA),QB,72.75,206,10,31,,4.76,,35,110,4.32,,
2019,Travon McMillian,Colorado,RB,71.25,210,8.75,30.875,,4.48,22,32,122,4.46,7.22,
2019,Trace McSorley,Penn State,QB,72.13,202,9.13,31,,4.57,,33,115,4.12,7.09,
2019,Carson Meier,Oklahoma,TE,77.13,255,9.75,32,,4.91,19,34.5,116,4.72,7.6,
2019,D.K. Metcalf,Mississippi,WR,75.38,228,9.88,34.875,,4.33,27,40.5,134,4.5,7.38,
2019,Jakobi Meyers,North Carolina State,WR,73.63,203,9.5,32,,4.63,13,37,118,4.23,7.07,
2019,Adrian Middleton,Kentucky,DT,75.38,294,9.38,33.625,,5.16,30,28.5,106,4.89,8.23,
2019,Durrant Miles,Boise State,DE,76.63,263,10.25,32.25,,4.9,24,34,113,4.32,7.22,
2019,Joshua Miles,Morgan State (MD),OG,77,314,10.75,35.625,,5.32,18,36,109,4.75,8.07,
2019,Christian Miller,Alabama,EDG,75.38,247,9.75,35.13,,,18,38.5,118,4.49,7.43,
2019,Jordan Miller,Washington,CB,72.88,186,9.63,32.88,,4.49,6,37,125,4.38,7.3,
2019,Scott Miller,Bowling Green (OH),WR,69.13,174,8.75,29.25,,4.36,15,34,123,4.02,6.97,
2019,Shareef Miller,Penn State,EDG,76.5,254,10.13,33.63,,4.69,16,29.5,,4.45,,
2019,Wyatt Miller,Central Florida,OG,77.5,302,9.75,34.75,,5.37,14,26.5,101,4.78,8,
2019,Gardner Minshew,Washington State,QB,72.88,225,10.13,31.75,,4.97,,33.5,116,4.45,7.14,
2019,Dillon Mitchell,Oregon,WR,73.25,197,9,31.5,,4.46,12,36.5,122,4.29,6.93,
2019,Darrien Molton,Washington State,CB,70.13,183,8.25,30,,4.54,11,35,120,4.35,7.09,
2019,Bryan Mone,Michigan,DT,75,366,10.5,33.625,,5.53,20,26,96,5.41,7.88,
2019,Dakari Monroe,San Jose State,CB,70.38,190,8.63,31.25,,4.57,11,35.5,116,4.41,7.41,
2019,Aaron Monteiro,Boston College,OT,78,311,10.25,33.875,,5.31,19,29.5,106,4.77,7.82,
2019,David Montgomery,Iowa State,RB,70.13,222,9.25,31.38,,4.63,15,28.5,121,4.23,7.12,
2019,Brendan Moore,Maryland,OG,75.63,306,9.88,31.5,,5.38,20,28.5,106,4.83,7.69,
2019,Jalin Moore,Appalachian State (NC),RB,70,212,9.25,32.38,,,27,33,114,4.39,,
2019,Foster Moreau,Louisiana State,TE,75.63,253,9.63,33.5,,4.66,22,36.5,121,4.11,7.16,11.81
2019,Jimmy Moreland,James Madison (VA),CB,69.75,179,9,29.625,,4.46,8,39,120,4.26,6.83,
2019,Stanley Morgan,Nebraska,WR,72,202,9.88,32.375,,4.53,14,38.5,125,4.13,6.78,
2019,Trayvon Mullen,Clemson,CB,73.5,199,9.13,31,,4.46,,34.5,123,,,
2019,Byron Murphy,Washington,CB,71.13,190,8.88,30.13,,4.55,14,36.5,120,4.13,6.83,
2019,Kyler Murray,Oklahoma,QB,70.13,207,9.5,28.5,,,,,,,,
2019,Nyqwan Murray,Florida State,WR,70.25,193,9,30.625,,4.63,8,34,113,4.4,7.2,
2019,Sam Mustipher,Notre Dame,C,74.25,306,9,32.125,,5.63,20,26.5,101,4.84,8.25,
2019,Flynn Nagel,Northwestern,WR,71.25,188,8.38,29.25,,4.73,11,28.5,102,4.21,6.95,
2019,Isaac Nauta,Georgia,TE,75.25,244,9.38,31.88,,4.91,19,28,114,4.43,7.45,12.26
2019,Anthony Nelson,Iowa,DE,79,271,9.88,34.88,,4.82,18,35.5,118,4.23,6.95,
2019,Chris Nelson,Texas,DT,72.88,298,9.13,32,,5.56,23,32,103,4.85,7.93,
2019,Matt Nelson,Iowa,DT,79,296,9.38,34.875,,5.15,15,30.5,111,4.61,7.45,
2019,Tyler Newsome,Notre Dame,P,75,218,9.25,30.25,,,30,,,,,
2019,Yosuah Nijman,Virginia Tech,OT,78.75,314,10.13,34.125,,4.88,27,30.5,114,4.5,8.07,
2019,Keisean Nixon,South Carolina,CB,70.25,196,9.75,30.75,,4.42,10,32.5,120,4.52,7.28,
2019,Sean Nuernberger,Ohio State,K,73,237,8.75,30.5,,,20,,,,,
2019,Tito Odenigbo,Miami (FL),DT,75.38,311,9.5,33.75,,5.2,22,25.5,107,4.84,8.04,
2019,Bobby Okereke,Stanford,LB,73.38,239,10.13,34.5,,4.58,16,33.5,122,4.26,7.25,
2019,Ed Oliver,Houston,DT,73.88,287,9.25,31.75,,4.73,32,36,120,4.22,7.15,
2019,Josh Oliver,San Jose State,TE,76.63,249,10.75,33.5,,4.63,22,34,117,4.47,7.21,12.01
2019,Qadree Ollison,Pittsburgh,RB,72.63,228,9.63,31.5,,4.58,19,29.5,114,4.31,7.53,
2019,Charles Omenihu,Texas,DE,77.38,280,9.38,36,,4.92,15,36.5,115,4.36,7.48,
2019,Iosua Opeta,Weber State (UT),OL,76.25,301,9.88,33.25,,5.02,39,33,112,4.94,8.06,
2019,Amani Oruwariye,Penn State,CB,73.63,205,9,31.38,,4.47,17,36.5,120,4.16,6.82,
2019,Jameer Outsey,Nevada Las Vegas,DE,74.75,254,10.25,32.5,,4.95,15,28.5,115,4.75,7.53,
2019,Devine Ozigbo,Nebraska,RB,70.75,222,9.25,31,,4.65,19,37,124,4.27,6.95,
2019,Donald Parham,Stetson,TE,80.38,240,10.25,35.5,,4.68,17,38.5,125,4.51,7.53,
2019,Ed Paris,Louisiana State,SS,72.25,208,10,31.875,,4.59,15,33.5,116,4.28,6.96,
2019,Kyrion Parker,Central Missouri,WR,74.75,207,10.25,33.25,,4.56,9,37,126,4.46,7.2,
2019,Natrez Patrick,Georgia,ILB,74.5,244,10.25,33.125,,4.97,15,31,118,4.56,7.19,
2019,Javon Patterson,Mississippi,C,74.88,307,9,32.5,,5.13,27,27.5,98,4.78,7.72,
2019,DAndre Payne,Iowa State,CB,69.38,188,9.88,30.375,,4.53,12,33,118,4.4,7.16,
2019,Tristan Payton,Central Florida,WR,71.63,197,8.25,31.5,,4.59,11,32.5,116,4.34,6.9,
2019,Chris Peace,Virginia,OLB,73.88,238,8.25,32,,4.73,23,30,116,4.37,7.25,
2019,Brian Peavy,Iowa State,CB,68.25,192,9.13,30.625,,4.69,11,35,114,4.27,6.81,
2019,Peyton Pelluer,Washington State,ILB,72.25,228,9.63,30,,4.99,24,28.5,111,4.43,7.41,
2019,Jamal Peters,Mississippi State,CB,73.75,218,9.75,32.38,,4.63,10,28.5,115,,,
2019,Tyler Petite,Southern California,TE,75.63,234,9.5,32,,4.73,,27.5,111,4.46,7.2,
2019,Justin Phillips,Oklahoma State,ILB,71.75,230,9.5,31.875,,,20,32,108,,,
2019,Kyle Phillips,Tennessee,DE,75.75,277,9.75,33.5,,4.68,17,32.5,115,4.77,7.44,
2019,Adarius Pickett,UCLA,SS,70.75,201,9,30.75,,4.74,17,28,109,4.16,6.76,
2019,Ravian Pierce,Syracuse,TE,74.5,247,9.63,33.125,,4.75,24,29,118,4.59,7.34,
2019,Ross Pierschbacher,Alabama,C,75.63,308,10,32.125,,5.2,20,22.5,,4.7,7.83,
2019,Trey Pipkins,Sioux Falls,OT,78.13,309,9.63,33.875,,5.12,16,33.5,114,4.7,7.61,
2019,Jachai Polite,Florida,EDG,74.88,258,9.75,32.63,,4.84,14,32,102,,7.59,
2019,Tony Pollard,Memphis,RB,71.63,210,9.5,30,,4.52,13,35,121,4.37,7,
2019,Ryan Pope,San Diego State,OT,79,320,11.13,34.25,,5.03,25,28.5,98,5.09,7.85,
2019,Tyler Powell,North Carolina,DE,74.88,266,9.25,31.5,,4.88,24,34.5,117,4.47,7.52,
2019,Ben Powers,Oklahoma,OG,76,307,9.88,33.75,,,21,29,97,4.83,,
2019,Germaine Pratt,North Carolina State,LB,74.5,240,9.13,31.63,,4.57,24,32.5,116,4.45,,
2019,Terronne Prescod,North Carolina State,OG,76.5,330,10.13,32.25,,5.68,19,25,94,5.12,8.53,
2019,Damian Prince,Maryland,OG,76.63,306,9,33.5,,5.53,19,26.5,101,5.02,8.58,
2019,Isaiah Prince,Ohio State,OT,78.5,305,10.13,35.5,,5.09,23,27,115,5.02,7.9,
2019,Ryan Pulley,Arkansas,CB,70.63,209,9.25,32.75,,4.61,11,31,111,4.31,,
2019,Michiah Quick,Frenso State (CA),WR,70.5,178,,,,,,,,,,
2019,T.J. Rahming,Duke,WR,68.25,163,8.63,29.125,,4.64,,32,114,4.63,6.88,
2019,Taylor Rapp,Washington,S,72.13,208,9,30.75,,4.78,17,35,115,3.99,6.82,11.33
2019,Anthony Ratliff-Williams,North Carolina,WR,72.25,205,9.5,30.75,,4.57,14,35,126,4.38,6.9,
2019,Wyatt Ray,Boston College,EDG,75.25,257,9.38,32.5,,4.83,25,34,118,4.31,7.34,
2019,Chris Rayford,Mississippi State,CB,70.5,199,9.5,31.625,,4.49,24,33.5,118,4.18,6.85,
2019,Dax Raymond,Utah State,TE,76.88,255,10.25,32.63,,4.73,15,32,109,4.39,7.15,11.87
2019,Sheldrick Redwine,Miami (FL),S,72,196,9.38,31.75,,4.44,10,39,130,4.14,7.11,
2019,Malik Reed,Nevada,OLB,73.25,234,9.38,31.25,,4.85,19,32.5,119,4.35,6.89,
2019,Troy Reeder,Delaware,ILB,73,235,9.38,29.875,,4.63,27,37.5,122,4.14,7,
2019,Chris Register,Clemson,DE,74.75,242,9.63,33.125,,4.9,21,32,117,4.6,7.6,
2019,Keegan Render,Iowa,C,75,305,9.88,32,,5.39,20,27.5,100,4.71,7.52,
2019,Hunter Renfrow,Clemson,WR,70.5,180,7.88,29,,4.59,7,35,116,4.19,6.8,
2019,Mook Reynolds,Texas A&M-Commerce,CB,71.75,191,,,,,,,,,,
2019,Ross Reynolds,Iowa,OG,74.88,304,9.88,32.75,,5.12,27,35.5,105,4.49,7.29,
2019,Milan Richard,Clemson,TE,74.63,255,9.5,34.25,,4.69,20,29.5,115,4.65,7.59,
2019,A.J. Richardson,Boise State,WR,71.38,202,9.5,30.125,,4.62,11,33.5,110,4.44,7.12,
2019,Riley Ridley,Georgia,WR,73.25,194,10.25,32.625,,4.58,13,30.5,124,4.28,7.22,
2019,Dalton Risner,Kansas State,OT,76.75,312,10.25,34,,5.3,23,28.5,110,4.52,7.69,
2019,Derick Roberson,Sam Houston State (TX),OLB,74.88,247,9.88,32.875,,4.74,18,34.5,116,4.22,7.26,
2019,Greg Roberts,Baylor,DE,77.13,258,9.13,32.375,,4.73,23,34.5,120,4.53,7.11,
2019,Elijah Rodriguez,Texas,OG,76.25,311,8.63,32.5,,,21,27,95,,,
2019,Tyler Roemer,San Diego State,OT,78.38,312,10.25,33.875,,5.21,18,30.5,108,4.76,7.75,
2019,Darian Roseboro,North Carolina State,DT,75.13,283,9.88,32,,5.06,28,25,109,4.72,7.44,
2019,Malik Rosier,Miami (FL),QB,72,224,9.5,31.125,,4.75,,28.5,103,4.63,7.68,
2019,Brock Ruble,Toledo,OT,80.25,324,9.63,33.625,,5.4,15,24.5,100,5.13,8.15,
2019,Anthony Rush,Alabama-Birmingham,DT,76.25,352,9.13,33.125,,,,,,,,
2019,Dontavius Russell,Auburn,DT,74.75,319,9.5,32,,5.15,24,25.5,101,4.77,7.81,
2019,DeMonte Ruth,Iowa State,CB,69.5,172,8.75,29.375,,4.48,,36,122,4.24,7,
2019,Brett Rypien,Boise State,QB,73.75,210,9,30.38,,4.91,,33,116,4.29,7.1,
2019,Olive Sagapolu,Wisconsin,DT,73.63,324,10.38,32.875,,,,29.5,102,4.74,7.91,
2019,Dru Samia,Oklahoma,OG,76.75,305,10.13,33,,5.29,28,27.5,101,4.7,7.89,
2019,Drew Sample,Washington,TE,77,255,9.63,33.38,,4.71,,33.5,115,4.31,7.15,11.85
2019,Deebo Samuel,South Carolina,WR,71.25,214,10,31.375,,4.48,15,39,122,4.14,7.03,
2019,Miles Sanders,Penn State,RB,70.63,211,9.25,30.63,,4.49,20,36,124,4.19,6.89,
2019,Khalen Saunders,Western Illinois,DT,72.38,324,9.13,32.25,,5.01,27,30.5,101,4.62,7.57,
2019,Mavin Saunders,Kansas,TE,76.5,236,10.13,33,,4.87,12,31,111,,,
2019,Darnell Savage,Maryland,S,70.75,198,9.13,31,,4.36,11,39.5,126,4.14,7.03,
2019,Jordan Scarlett,Florida,RB,70.38,208,8.88,30.38,,4.47,21,30,116,4.63,7.37,
2019,Michael Scarnecchia,South Carolina,QB,75.25,213,8.75,31.375,,4.94,,29,114,4.9,7.5,
2019,Max Scharping,Northern Illinois,OT,77.88,327,10,33.625,,,27,28,108,4.69,7.77,
2019,LJ Scott,Michigan State,RB,72.38,227,9.38,32.13,,4.7,21,33,120,4.34,7.27,
2019,Nick Scott,Penn State,FS,70.75,200,8.5,31,,4.45,18,41,128,4.2,7.02,
2019,Austin Seibert,Oklahoma,K,69.25,213,8.88,30.38,,,,,,,,
2019,Sam Seonbuchner,Iowa State,FB,73.75,242,9.88,31.125,,4.81,16,29.5,103,4.59,7.43,
2019,Kendall Sheffield,Ohio State,CB,71.75,193,9.25,31.5,,,,39,128,4.06,6.69,
2019,Duke Shelley,Kansas State,CB,68.63,173,8.25,31,,4.51,11,34,114,4.23,7.1,
2019,Kyle Shurmur,Vanderbilt,QB,76,230,8.88,32.75,,4.91,,29.5,106,4.53,7.51,
2019,David Sills,West Virginia,WR,75.25,211,9,32,,4.57,14,37.5,117,4.28,6.97,
2019,Jeffery Simmons,Mississippi State,DT,74.75,300,10.25,34.5,,,28,,,,,
2019,Jordan Sims,Mississippi,OG,75.75,326,10.75,32.625,,5.68,17,23.5,86,5.22,8.27,
2019,Devin Singletary,Florida Atlantic,RB,67.63,203,8.5,28.88,,4.66,15,35,117,4.4,7.32,
2019,Raelon Singleton,Houston,WR,74.88,208,10,32.125,,4.54,,37.5,131,4.5,7.01,
2019,Justin Skule,Vanderbilt,OT,78.63,320,10,33.875,,5.26,22,25.5,105,4.73,7.54,
2019,Chris Slayton,Syracuse,DT,75.63,307,10.63,33.5,,5.13,28,29,101,4.73,7.34,
2019,Darius Slayton,Auburn,WR,73,190,10,32.75,,4.39,11,40.5,135,4.15,7,
2019,Cameron Smith,Southern California,LB,74,238,10.38,32.38,,4.69,15,39,123,4.23,7.12,
2019,Irv Smith,Alabama,TE,74.38,242,9.5,31.5,,4.63,19,32.5,110,4.33,7.32,12.44
2019,Jaylen Smith,Louisville,WR,74.25,213,9.25,32.75,,4.47,14,34.5,122,4.48,7.55,
2019,Jeff Smith,Boston College,WR,72,191,9,31.5,,4.36,15,36.5,127,4.06,6.87,
2019,Josh Smith,Vanderbilt,ILB,74.88,242,9.63,32.75,,4.96,,33,115,4.63,7.25,
2019,Kaden Smith,Stanford,TE,77,255,9.63,32.25,,4.92,15,32,108,4.47,7.08,
2019,Ray Smith,Boston College,DT,73,302,10.13,31.5,,4.93,27,35,119,4.49,,
2019,Saivion Smith,Alabama,CB,72.88,203,9.5,33.25,,4.66,11,33,121,4.37,7.09,
2019,Sutton Smith,Northern Illinois,EDG,72.38,233,9,30.75,,4.69,25,31.5,118,4.32,6.75,
2019,TJ Smith,Lenoir-Rhyne,WR,69.5,174,8.75,31,,4.57,16,35.5,123,4.39,7,
2019,Benny Snell,Kentucky,RB,70.38,224,9.38,31,,4.66,16,29.5,119,4.33,7.07,
2019,Dredrick Snelson,Central Florida,WR,71.38,189,8.75,30.625,,4.55,10,30.5,116,4.39,7.27,
2019,Matt Sokol,Michigan State,TE,77,253,8.75,32.625,,4.87,23,30.5,112,4.34,7.35,
2019,EJ Speed,Tarleton State,OLB,76,224,9.75,33.25,,4.6,24,34,120,4.39,6.9,
2019,Wilton Speight,UCLA,QB,78.63,232,9.5,32.375,,4.89,,,,,,
2019,Jayson Stanley,Georgia,WR,73.63,209,8.5,33,,4.46,12,35,126,4.34,7.14,
2019,Moral Stephens,Florida,TE,75,252,9.13,32.5,,4.78,12,31,112,5.14,7.37,
2019,Jace Sternberger,Texas A&M,TE,76,251,9.75,32.13,,4.75,17,31.5,113,4.31,7.19,12.09
2019,Brad Stewart,Georgia Tech,WR,72.75,186,8.63,30.25,,4.66,10,35,119,4.2,7.03,
2019,Easton Stick,North Dakota State,QB,73.25,224,9.25,32.13,,4.62,,33.5,118,4.05,6.65,
2019,Jarrett Stidham,Auburn,QB,74.38,218,9.13,32,,4.81,,31,110,4.33,7.28,
2019,Brent Stockstill,Middle Tennessee State,QB,71.63,210,8.38,29.375,,4.79,,24.5,108,,,
2019,Connor Strachan,Boston College,ILB,71.88,230,9.13,31.375,,4.78,25,36,117,4.2,6.96,
2019,Ty Summers,Texas Christian,ILB,73.38,241,10,31.5,,4.51,27,36,123,4.26,7,
2019,Montez Sweat,Mississippi State,EDG,77.75,260,10.5,35.75,,4.41,21,36,125,4.29,7,
2019,Thomas Sweeney,Boston College,TE,76.5,251,9.75,32.75,,4.84,17,32,115,4.31,7.17,
2019,William Sweet,North Carolina,OT,78,313,10.13,34.375,,5.27,23,30.5,111,5,8.01,
2019,Jordan Ta'amu-Perifanos,Mississippi,QB,74.63,221,9.88,32.25,,4.77,,27.5,109,4.36,7.06,
2019,Sione Takitaki,Brigham Young,OLB,73.13,233,9.63,32,,4.63,24,37,125,4.28,7.21,
2019,Trevon Tate,Memphis,OG,74.5,293,9.63,32.38,,5.26,22,28.5,108,4.8,7.73,
2019,Jahlani Tavai,Hawaii,ILB,74.38,246,9,32.375,,4.86,,33.5,110,4.41,,
2019,Jawaan Taylor,Florida,OT,77.13,314,10,35.5,,,24,,,,,
2019,Marvell Tell,Southern California,S,74,198,9.75,33.13,,4.59,8,42,136,4.01,6.63,
2019,Cory Thomas,Mississippi State,DT,77.38,309,10.13,35.125,,5.03,25,23,101,4.9,7.97,
2019,Derrek Thomas,Baylor,CB,75.5,189,10,34,,4.43,8,39.5,131,4.18,7.18,
2019,Johnathan Thomas,Penn State,RB,70.75,217,9.38,30.5,,4.41,19,39.5,128,4.22,6.84,
